Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10,,,,
,CO_331:0000207,RnWvl_Et_1to9,"WED1, WED","Characterizing stocks,  Evaluation in Trials",RG,Recommended,"Huaman1991:Def_8.1.1, Grueneberg2016:Def_27","CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000088,Reaction to sweet potato weevil,Biotic stress trait,"Overall assessment of weevil damage based on inspection of the harvested roots, early.",,RnWvl,,Storage root,Reaction to Weevil,Recommended,"Huaman1991:Def_8.1.1, Grueneberg2010:Def_29",CO_331:0000089,Weevil damage evaluation,Estimation,Overall assessment of weevil damage based on inspection of the harvested roots. Use a 1 to 9 scale.,,"Huaman1991:Def_8.1.1, Grueneberg2010:Def_29",CO_331:0000090,RtDam 9 pt. scale,Ordinal,,,,,1= No damage,4= Minor to moderate,5= Moderate,2= Very minor,3= Minor,8= Heavy to severe damage,9= Severe damage,6= Moderate to heavy,7= Heavy,,,,,
,CO_331:0000211,PtRt_Ct_plplot,NOPR,Evaluation in Trials,RB,Recommended,Grueneberg2016:Def_18,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000208,Number of plants with storage roots,Agronomic trait,Number of plants with storage roots,,PtRt,,Plant with storage Storage root,Number,Recommended,Grueneberg2010:Def_19,CO_331:0000209,Evaluation of plants,Counting,Visual estimation,,Grueneberg2010:Def_19,CO_331:0000210,plants/plot,Numerical,0,0,,,,,,,,,,,,,,,,
,CO_331:0000214,RtCmN_Ct_plplot,NOCR,Evaluation in Trials,PS,Recommended,Grueneberg2016:Def_19,"CIP, SASHA",W. Grueneberg,31/03/2016,EN,Sweetpotato,CO_331:0000212,Number of commercial storage roots,Agronomic trait,Roots 12-20 cm long and 10 cm in diameter,,RtCmN,,Commercial storage root,Number,Recommended,Grueneberg2016:Def_19,CO_331:0000145,Evaluation of roots,Counting,Visual estimation,,Grueneberg2016:Def_20,CO_331:0000213,roots/plot,Numerical,0,0,,,,,,,,,,,,,,,,
,CO_331:0000217,RtNCmN_Ct_plplot,NONC,Evaluation in Trials,PS,Recommended,Grueneberg2016:Def_20,"CIP, SASHA",W. Grueneberg,31/03/2016,EN,Sweetpotato,CO_331:0000215,Number of non-commercial storage roots,Agronomic trait,Number of small and large roots (10 > x < 20 cm long),,RtNCmN,,Non-commercial storage root,Number,Recommended,Grueneberg2016:Def_20,CO_331:0000145,Evaluation of roots,Counting,Visual estimation,,Grueneberg2016:Def_20,CO_331:0000216,roots/plot,Numerical,0,0,,,,,,,,,,,,,,,,
,CO_331:0000218,RtCYld_Cp_tha,RYTHA,Marketable root yield,PS,Recommended,Grueneberg2016:Def_40,"CIP, SASHA",W. Grueneberg,31/03/2015,EN,Sweetpotato,CO_331:0000307,Marketable root yield,Agronomic trait,Marketable root yield,,RtCYld,,Storage root,Yield,Recommended,,CO_331:0000313,Estimated marketable yield per hectare - Method,Computation,(Weight of commercial storage roots/ plot size)*10,CYTHA = (CRW /PS)*10,Grueneberg2016:Def_40,CO_331:0000319,t/ha,Continuous,2,0,,,,,,,,,,,,,,,,
,CO_331:0000220,RtCmW_Ms_kgplot,CRW,Evaluation in Trials,PS,Recommended,Grueneberg2016:Def_21,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000218,RtCYld_Cp_tha,Agronomic trait,Weight of root that are 12 to 20 cm long and at least 10 cm in diameter,,RtCmW,,Commercial storage root,Weight per plot,Recommended,Grueneberg2010:Def_22,CO_331:0000146,Measurements of root mass,Measurement,Measured using scales,,Grueneberg2010:Def_23,CO_331:0000219,kg/plot,Numerical,2,0,,,,,,,,,,,,,,,,
,CO_331:0000223,RtNCmW_Ms_kgplot,NCRW,Evaluation in Trials,PS,Recommended,Grueneberg2016:Def_22,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000221,Weight of non-commercial storage roots,Agronomic trait,Weight of root shorter than 10 cm long and greater than 20 cm long.,,RtNCmW,,Non-commercial storage root,Weight per plot,Recommended,Grueneberg2010:Def_23,CO_331:0000146,Measurements of root mass,Measurement,Measured using scales,,Grueneberg2010:Def_23,CO_331:0000222,kg/plot,Numerical,2,0,,,,,,,,,,,,,,,,
,CO_331:0000227,VnW_Ms_kgplot,VW,Evaluation in Trials,PS,Recommended,Grueneberg2016:Def_16,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000224,Weight of vines,Agronomic trait,Weight of vines,,VnW,,Vine,Weight,Recommended,Grueneberg2010:Def_24,CO_331:0000225,Measurements of vine mass,Measurement,Measured using scales,,Grueneberg2010:Def_24,CO_331:0000226,kg/plot,Numerical,2,0,,,,,,,,,,,,,,,,
,CO_331:0000230,RtTtN_Ct_rtplant,"TNROOT,NRPP",Evaluation in Trials,PS,Recommended,"Huaman1991:Def_6.1.3, CloneSelector2015","CIP, SASHA",CloneSelector2015,18/11/2015,EN,Sweetpotato,CO_331:0000079,Total number of root,Agronomic trait,Total number of root after harvest,,RtTtN,,Storage root,Number per plant,Recommended,"Huaman1991:Def_6.1.3, CloneSelector2015",CO_331:0000228,Estimated number per plant - Method,Computation,Total number of root per plot / Number of plants harvested,NRPP=TNRPLOT/NOPH,CloneSelector2015,CO_331:0000229,roots/ plant,Numerical,2,0,50,,,,,,,,,,,,,,,
,CO_331:0000233,RtTtN_Ct_rtplot,TNRPLOT,Evaluation in Trials,PS,Recommended,CloneSelector2015,"CIP, SASHA",CloneSelector2015,18/11/2015,EN,Sweetpotato,CO_331:0000079,Total number of root,Agronomic trait,Total number of root after harvest,,RtTtN,,Storage root,Number per plant,Recommended,"Huaman1991:Def_6.1.3, CloneSelector2015",CO_331:0000231,Estimated number per plot - Method,Computation,Number of commercial plus Number of non-commercial roots,TNRPLOT=NOCR+NONC,CloneSelector2015,CO_331:0000232,roots/ plot,Numerical,2,0,200,,,,,,,,,,,,,,,
,CO_331:0000237,RtTWt_Cp_plot,TRW,Evaluation in Trials,PS,Recommended,CloneSelector2015,"CIP, SASHA",CloneSelector2015,18/11/2015,EN,Sweetpotato,CO_331:0000234,Total root weight,Agronomic trait,Total weight of root  after harvest,,RtTWt,,Storage root,Weight per plot,Recommended,CloneSelector2015,CO_331:0000235,Estimated weight per plot - Method,Computation,Weight of commercial storage roots plus weight of non-commercial storage roots,TRW=CRW+NCRW,CloneSelector2015,CO_331:0000236,kg/plot,Numerical,2,0,,,,,,,,,,,,,,,,
,CO_331:0000239,RtCrk_Et_0to7,SGROOT,Evaluation in Trials,PS,Recommended,Huaman1991:Def_6.1.6,"CIP, FAO, IPGRI",Z. Huaman,18/11/2015,EN,Sweetpotato,CO_331:0000097,Storage root cracking,Agronomic trait,Storage root cracking,,RtCrk,,Storage root,cracking,Recommended,Huaman1991:Def_6.1.6,CO_331:0000238,Estimation of craking roots,Estimation,Visual estimation,,Huaman1991:Def_6.1.6,CO_331:0000099,RtsCr 4 pt. scale,Ordinal,,,,,0 = Absent,7 = Many cracks,3 = Few cracks,5 = Medium number of cracks,,,,,,,,,,
,CO_331:0000243,RtFWt_Ms_g,DMF,Evaluation in Trials,PS,Recommended,Grueneberg2016:Def_28,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000240,Weight of storage root,Quality trait,Weight of storage root samples,,RtFWt,,Storage root,Weight,Recommended,Grueneberg2010:Def_31,CO_331:0000241,Measurements of fresh root mass,Measurement,Fresh weight of storage root samples (roughly 200g recommended sample size),,Grueneberg2010:Def_31,CO_331:0000242,g,Numerical,2,0,220,,,,,,,,,,,,,,,
,CO_331:0000247,RtDWt_Ms_g,DMD,Evaluation in Trials,PS,Recommended,Grueneberg2016:Def_29,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000244,Weight of storage root,Quality trait,Weight of storage root samples,,RtDWt,,Storage root,Weight,Recommended,Grueneberg2010:Def_32,CO_331:0000245,Measurements of dry root mass,Measurement,Dry weight of storage root samples,,Grueneberg2010:Def_32,CO_331:0000246,g,Numerical,2,0,50,,,,,,,,,,,,,,,
,CO_331:0000251,VnFWt_Et_g,DMFV,Evaluation in Trials,PS,Recommended,CloneSelector2015:Def_10,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000248,Weight of vines,Quality trait,Weight of vines samples,,VnFWt,,Vine,Weight,Recommended,CloneSelector2015:Def_10,CO_331:0000249,Measurements of fresh vine mass,Measurement,Fresh weight of vines,,CloneSelector2015:Def_10,CO_331:0000250,g,Numerical,2,0,220,,,,,,,,,,,,,,,
,CO_331:0000255,VnDWt_Ms_g,DMDV,Evaluation in Trials,PS,Recommended,CloneSelector2015:Def_11,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000252,Weight of vines,Quality trait,Weight of vines samples,,VnDWt,,Vine,Weight,Recommended,CloneSelector2015:Def_11,CO_331:0000253,Measurements of dry vine mass,Measurement,Dry weight of vines,,CloneSelector2015:Def_11,CO_331:0000254,g,Numerical,2,0,50,,,,,,,,,,,,,,,
,CO_331:0000259,RtFlsFbC_Et_1to9,COOF,Evaluation in Trials,PS,Recommended,Grueneberg2016:Def_31,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000256,Fiber cooked,Quality trait,Fiber content in cooked samples,,RtFlsFbC,,Storage root flesh,Fiber,Recommended,Grueneberg2010:Def_34,CO_331:0000257,Evaluation of cooked samples for fibers,Estimation,Fibers in cooked storage root samples assessed by inspection and tasting. Use a 1 to 9 scale.,,Grueneberg2010:Def_34,CO_331:0000258,RtFbr 9 pt. scale,Ordinal,,,,,1= Non-fibrous,4= Slightly to moderately fibrous,5= Moderately fibrous,2= Non-fibrous to slightly fibrous,3= Slightly fibrous,8=  Fibrous to very fibrous,9= Very fibrous,6= Moderately fibrous to fibrous,7= Fibrous,,,,,
,CO_331:0000260,RtFlsFf_Ms_pct,FIBER,Evaluation in Trials,PS,Recommended,Huaman1991:Def_6.2.3,"CIP, FAO, IPGRI",Z. Huaman,42356,EN,Sweetpotato,CO_331:0000130,Fiber content,Quality trait,Fiber content in fresh samples,,RtFlsFf,,Storage root flesh,Fiber,Recommended,Huaman1991:Def_6.2.3,CO_331:0000131,Storage root Fibers content  evaluated in percentage fresh weight,Estimation,Fibers in flesh root,,Hammett1966,CO_331:0000132,%,Continuous,2,0,,,,,,,,,,,,,,,,
,CO_331:0000261,RtFlsSwt_Et_1to9,"TASTE, COOSU",Evaluation in Trials,PS,Recommended,"Huaman1991:Def_6.2.9.4,Grueneberg2010:Def_35","CIP, FAO, IPGRI,SASHA","Z. Huaman,W. Grueneberg",18/11/2015,EN,Sweetpotato,CO_331:0000139,Sweetness of boiled storage root flesh,Quality trait,Sweetness of boiled root,Storage root sweetness,RtFlsSwt,,Storage root flesh,Sweetness cooked,Recommended,"Huaman1991:Def_6.2.9.4,Grueneberg2010:Def_35",CO_331:0000140,Evaluation of cooked samples for sweetness,Estimation,"Storage root sweetness in cooked samples, determined by taste test.  Use a 1 to 9 scale.",,"Huaman1991:Def_6.2.9.4,Grueneberg2010:Def_35",CO_331:0000141,RtSwt 9 pt. scale,Ordinal,,,,,1 = Not at all sweet,4= Slightly to moderately sweet,5 = Moderately sweet,2= Non-sweet to slightly sweet,3 = Slightly sweet,8= Sweet to very sweet,9= Very sweet,6= Moderately sweet to sweet,7 = Sweet,,,,,
,CO_331:0000263,RtFlsTxH_Et_1to9,RTTEXT,Evaluation in Trials,PS,Recommended,Huaman1991:Def_6.2.9.3,"CIP, FAO, IPGRI",Z. Huaman,18/11/2015,EN,Sweetpotato,CO_331:0000136,Storage root texture,Quality trait,Storage root texture after boiled,,RtFlsTxG,,Storage root flesh,Texture cooked,Standard for SASHA,Grueneberg2010:Def_36,CO_331:0000137,Evaluation of cooked samples for texture,Estimation,"Storage root texture in cooked samples, determined by taste test. Use a 1 to 9 scale with 9 scales.",,Huaman1991:Def_6.2.9.3,CO_331:0000262,FlsTxCH 5 pt. scale,Ordinal,,,,,1 = Dry,7 = Moist,9 = Very moist,3 = Somewhat dry,5 = Intermediate,,,,,,,,,
,CO_331:0000265,RtFlsTxG_Et_1to9,TEXTBR,Evaluation in Trials,PS,Standard for SASHA,Grueneberg2016:Def_33,"CIP, SASHA",W. Grueneberg,18/11/2015,EN,Sweetpotato,CO_331:0000136,Storage root texture,Quality trait,Storage root texture after boiled,,RtFlsTxG,,Storage root flesh,Texture cooked,Standard for SASHA,Grueneberg2010:Def_36,CO_331:0000137,Evaluation of cooked samples for texture,Estimation,"Storage root texture in cooked samples, determined by taste test. Use a 1 to 9 scale with 9 scales.",,Huaman1991:Def_6.2.9.3,CO_331:0000264,FlsTxCG 9 pt. scale,Ordinal,,,,,1= very moist,4= Moist to moderately dry,5= Moderately dry,2= Very moist to moist,3= Moist,8= Dry to very dry,9= Very dry,6= Moderately dry to dry,7= Dry,,,,,
,CO_331:0000269,RtFlsTs_Et_1to9,COOT,Evaluation in Trials,PS,Recommended,Grueneberg2016:Def_34,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000266,Overall taste of cooked sample,Quality trait,Overall taste of cooked sample,,RtFlsTs,,Storage root flesh,Taste cooked,Recommended,Grueneberg2010:Def_37,CO_331:0000267,Evaluation of cooked samples for taste,Estimation,Overall taste of cooked samples assessed using a 1 to 9 scale.,,Grueneberg2010:Def_37,CO_331:0000268,RtTst 9 pt. scale,Ordinal,,,,,1= Excellent,4= Good to fair,5= Fair,2= Excellent to good,3= Good,8= Poor to terrible,9= Terrible,6= Fair to poor,7= Poor,,,,,
,CO_331:0000273,RtFlsAp_Et_1to9,COOAP,Evaluation in Trials,PS,Legacy,Grueneberg2010:Def_38,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000270,Overall appearance of cooked sample,Quality trait,Appearance of cooked sample,,RtFlsAp,,Storage root flesh,Appearance cooked,Legacy,Grueneberg2010:Def_38,CO_331:0000271,Evaluation of cooked samples for appearance,Estimation,Appearance of cooked samples assessed using a 1 to 9 scale.,,Grueneberg2010:Def_38,CO_331:0000272,RtApr 9 pt. scale,Ordinal,,,,,1= Very appealing,4= Appealing to somewhat appealing,5= Somewhat appealing,2= Very appealing to appealing,3= Appealing,8= Unappealing to very unappealing,9= Very unappealing,6= Somewhat appealing to unappealing,7= Unappealing,,,,,
,CO_331:0000277,RtSpA_Et_1to9,RSPR,Evaluation in Trials,PS,Recommended,"CloneSelector2015:Def_03, Huaman1991:Def_6.2.8","CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000274,Sprouting ability,Agronomic trait,ability to produce new sprout,,RtSpA,,Storage root,Sprounting ability,Recommended,Huaman1991:Def_6.2.8,CO_331:0000275,Evaluation of roots for sprouting ability,Estimation,Overall assessment using a scale of 1 to 9.,,Huaman1991:Def_6.2.8,CO_331:0000276,RtSprt 9 pt. scale,Ordinal,,,,,1= Excellent,4= Good to fair,5= Fair,2= Excellent to good,3= Good,8= Poor to terrible,9= Terrible,6= Fair to poor,7= Poor,,,,,
,CO_331:0000278,RtFlsPrt_Ms_pct,"PRO, PROTEIN","Characterizing stocks,  Evaluation in Trials",PS,Recommended,"CloneSelector2015:Def_08, Huaman1991:Def_6.2.2","CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000100,Protein content,Quality trait,Protein content of the root,,RtFlsPrt,,Storage root flesh,Protein content,Recommended,Huaman1991:Def_6.2.2,CO_331:0000101,Protein content - Method,Measurement,Protein content,,Huaman1991:Def_6.2.2,CO_331:0000102,%,Continuous,1,0,100,,,,,,,,,,,,,,,
,CO_331:0000279,RtFlsFe_Ms_mg100gDW,FeDW,Evaluation in Trials,PS,Recommended,CloneSelector2015:Def_01,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000103,Iron content,Quality trait,Content of iron on dry weight basis of the root,,RtFlsFe,,Storage root flesh,Iron content,Recommended,CIP_QNlab,CO_331:0000104,Content of iron in dry weight basis - Method,Measurement,"The mineral concentrations (Fe, Zn, Ca, K, Na, Mg and P) are determined by inductively coupled plasma-optical emission spectrophotometry (ICP-OES) using a Radial View.",,CloneSelector2015:Def_01,CO_331:0000105,mg/100g,Continuous,2,0,,,,,,,,,,,,,,,,
,CO_331:0000280,RtFlsZn_Ms_mg100gDW,ZnDW,Evaluation in Trials,PS,Recommended,CloneSelector2015:Def_02,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000106,Zinc content,Quality trait,Content of iron on dry weight basis of the root,,RtFlsZn,,Storage root flesh,Zinc content,Recommended,CIP_QNlab,CO_331:0000107,Content of zinc in dry weight basis - Method,Measurement,"The mineral concentrations (Fe, Zn, Ca, K, Na, Mg and P) are determined by inductively coupled plasma--optical emission spectrophotometry (ICP-OES) using a Radial View.",,CloneSelector2015:Def_02,CO_331:0000108,mg/100g,Continuous,2,0,,,,,,,,,,,,,,,,
,CO_331:0000284,RtFlsCa_Ms_mg100gDW,CaDW,Evaluation in Trials,PS,Recommended,CloneSelector2015:Def_20,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000281,Calcium content,Quality trait,Content of iron on dry weight basis of the root,,RtFlsCa,,Storage root flesh,Calcium content,Recommended,CIP_QNlab,CO_331:0000282,Content of calcium in dry weight basis - Method,Measurement,"The mineral concentrations (Fe, Zn, Ca, K, Na, Mg and P) are determined by inductively coupled plasma-optical emission spectrophotometry (ICP-OES) using a Radial View.",,CloneSelector2015:Def_20,CO_331:0000283,mg/100g,Continuous,2,0,,,,,,,,,,,,,,,,
,CO_331:0000288,RtFlsMg_Ms_mg100gDW,MgDW,Evaluation in Trials,PS,Recommended,CloneSelector2015:Def_21,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000285,Magnesium content,Quality trait,Content of magnesium on dry weight basis of the root,,RtFlsMg,,Storage root flesh,Magnesium content,Recommended,CIP_QNlab,CO_331:0000286,Content of magnesium in dry weight basis - Method,Measurement,"The mineral concentrations (Fe, Zn, Ca, K, Na, Mg and P) are determined by inductively coupled plasma-optical emission spectrophotometry (ICP-OES) using a Radial View.",,CloneSelector2015:Def_21,CO_331:0000287,mg/100g,Continuous,2,0,,,,,,,,,,,,,,,,
,CO_331:0000289,RtFlsBC_Ms_mg100gDW,BCDW,Evaluation in Trials,PS,Recommended,CloneSelector2015:Def_03,"CIP, SASHA, NCSU",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000109,Beta-carotene content,Quality trait,Beta carotene content of the root,,RtFlsBC,,Storage root flesh,Betacarotein,Recommended,CloneSelector2015:Def_03,CO_331:0000110,Beta carotene content - Method,Measurement,"For b-carotene analysis, 15 milliliters of the extract are transferred to a tube and dried with nitrogen gas. Immediately before injection, the residue is redissolved in 1 ml of HPLC grade acetone filtered through a 0.22-mm PTFE syringe filter directly into sample vials, and 10 ml is injected into the HPLC. Separation is carried out on a YMC C30 polymeric column (3 mm, 4.6 mm _ 250 mm) using as mobile phase an isocratic elution methanol: methyl-tert-butyl-eter (80:20) with a flow rate set as 0.8 ml/ min.",,CloneSelector2015:Def_03,CO_331:0000111,mg/100g,Continuous,2,0,,,,,,,,,,,,,,,,
,CO_331:0000290,RtFlsTC_Ms_mg100gDW,TCDW,Evaluation in Trials,PS,Recommended,Huaman1991:Def_6.2.6,"CIP, FAO, IPGRI, NCSU",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000112,Total carotenoids,Quality trait,Total carotenoids content of the root,,RtFlsTC,,Storage root flesh,Total betacarotein,Recommended,Huaman1991:Def_6.2.6,CO_331:0000113,Total carotenoids - Method,Measurement,The total carotenoid content is calculated using the absorbance value measured in a spectrophotometer at 450 nm and the extinction coefficient of b-carotene in petroleum ether .,,Huaman1991:Def_6.2.6,CO_331:0000114,mg/100g,Continuous,2,0,,,,,,,,,,,,,,,,
,CO_331:0000291,RtFlsSta_Ms_pct,STAR,Evaluation in Trials,PS,Recommended,Huaman1991:Def_6.2.4,"CIP, FAO, IPGRI, NCSU",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000115,Storage root starch content,Quality trait,Storage root starch content evaluated in percentage dry weight,,RtFlsSta,,Storage root flesh,Starch,Recommended,Huaman1991:Def_6.2.4,CO_331:0000116,Storage root starch content - Method,Measurement,"Pharr, D.M. Y Sox, H.N. 198",,Huaman1991:Def_6.2.4,CO_331:0000117,%,Continuous,1,0,100,,,,,,,,,,,,,,,
,CO_331:0000292,RtFlsFru_Ms_pct,FRUC,Evaluation in Trials,PS,Recommended,CloneSelector2015:Def_04,"CIP, SASHA, NCSU",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000118,Fructose content,Quality trait,Fructose content of the root,,RtFlsFru,,Storage root flesh,Fructose,Recommended,CloneSelector2015:Def_04,CO_331:0000119,Fructose content - Method,Measurement,"Miller, Gail Lorenz (1959)",,CloneSelector2015:Def_04,CO_331:0000120,%,Continuous,1,0,100,,,,,,,,,,,,,,,
,CO_331:0000293,RtFlsGlu_Ms_pct,GLUC,Evaluation in Trials,PS,Recommended,CloneSelector2015:Def_05,"CIP, SASHA, NCSU",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000121,Glucose content,Quality trait,Glucose content of the root,,RtFlsGlu,,Storage root flesh,Glucose,Recommended,CloneSelector2015:Def_05,CO_331:0000122,Glucose content - Method,Measurement,"Miller, Gail Lorenz (1959)",,CloneSelector2015:Def_05,CO_331:0000123,%,Continuous,1,0,100,,,,,,,,,,,,,,,
,CO_331:0000294,RtFlsSuc_Ms_pct,SUCR,Evaluation in Trials,PS,Recommended,CloneSelector2015:Def_06,"CIP, SASHA, NCSU",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000124,Sucrose content,Quality trait,Sucrose content  of the root,,RtFlsSuc,,Storage root flesh,Sucrosse,Recommended,CloneSelector2015:Def_06,CO_331:0000125,Sucrose content - Method,Measurement,"Miller, Gail Lorenz (1959)",,CloneSelector2015:Def_06,CO_331:0000126,%,Continuous,1,0,100,,,,,,,,,,,,,,,
,CO_331:0000295,RtFlsMal_Ms_pct,MALT,Evaluation in Trials,PS,Recommended,CloneSelector2015:Def_07,"CIP, SASHA, NCSU",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000127,Maltose content,Quality trait,Maltose content  of the root,,RtFlsMal,,Storage root flesh,Maltose,Recommended,CloneSelector2015:Def_07,CO_331:0000128,Maltose content - Method,Measurement,"Miller, Gail Lorenz (1959)",,CloneSelector2015:Def_07,CO_331:0000129,%,Continuous,1,0,100,,,,,,,,,,,,,,,
,CO_331:0000296,RtYld_Cp_tha,RYTHA,Evaluation in Trials,PS,Recommended,Grueneberg2016:Def_35,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000082,Yield of total roots,Agronomic trait,Yield evaluated in the harvest,,RtYld,,Storage root,Yield,Recommended,Grueneberg2010:Def_38,CO_331:0000083,Estimated yield per hectare - Method,Computation,(Weight total of root/ plot size)*10,RYTHA = (CRW + NCRW)/PS2,Grueneberg2010:Def_38,CO_331:0000084,t/ha,Continuous,2,0,,,,,,,,,,,,,,,,
,CO_331:0000297,RtDMC_Cp_pct,DM,Evaluation in Trials,PS,Recommended,Grueneberg2016:Def_36,"CIP, SASHA, NCSU",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000142,Storage root dry matter content,Agronomic trait,Storage root dry matter content,,RtDMC,,Storage root,Dry matter content,Recommended,Grueneberg2010:Def_39,CO_331:0000143,Storage root dry matter content - Method,Computation,Fresh weight / dry weight * 100,DM = (DMF / DMD) * 100,Grueneberg2010:Def_39,CO_331:0000144,%,Continuous,1,0,100,,,,,,,,,,,,,,,
,CO_331:0000301,IxSrv_Cp_pct,SHI,Evaluation in Trials,PS,Recommended,Grueneberg2016:Def_37,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000298,Survival index,Agronomic trait,Survival index,,IxSrv,,Plant,Yield,Recommended,Grueneberg2010:Def_40,CO_331:0000299,Survival index - Method,Computation,Number of plants harvested / number of plants sown,SHI= (NOPH / NOPS),Grueneberg2010:Def_40,CO_331:0000300,%,Continuous,1,0,100,,,,,,,,,,,,,,,
,CO_331:0000302,IxHrv_Cp_pct,HI,Evaluation in Trials,PS,Recommended,Grueneberg2016:Def_42,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000085,Harvest index,Agronomic trait,Harvest index,,IxHrv,,Plant,Biomass partitionning to storage root,Recommended,Grueneberg2010:Def_41,CO_331:0000086,Harvest index evaluation  - Method,Computation,100*total root weight/total root weight + foliage weight,HI = 100 * (CRW + NCRW)/(VW + CRW + NCRW),Grueneberg2010:Def_41,CO_331:0000087,%,Continuous,1,0,100,,,,,,,,,,,,,,,
,CO_331:0000678,PltPld_Ct_plplot,NOPS,Evaluation in Trials,EE,Standard for CIP,Grueneberg2016:Def_09,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000303,Number of plants planted,Agronomic trait,Number of plants planted,,PltPld,,Plant,Number,Standard for CIP,Grueneberg2016:Def_09,CO_331:0000190,Recording planting materials,Counting,Counting plants/vines planted.,,Grueneberg2010:Def_11,CO_331:0000191,plants/plot,Numerical,0,0,,,,,,,,,,,,,,,,
,CO_331:0000679,PtHrv_Ct_plplot,NOPH,Evaluation in Trials,PS,Standard for CIP,Grueneberg2016:Def_17,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000304,Number of plants harvested,Agronomic trait,Number of plants harvested,,PtHrv,,Harvested Plant,Number,Standard for CIP,Grueneberg2010:Def_18,CO_331:0000305,Evaluation of plants,Counting,Visual estimation,,Grueneberg2010:Def_18,CO_331:0000306,plants/plot,Numerical,0,0,,,,,,,,,,,,,,,,
,CO_331:0000680,RtACRW_Cp_g,ACRW,Evaluation in Trials,PS,Recommended,Grueneberg2016:Def_36,"CIP, SASHA",W. Grueneberg,31/03/2016,EN,Sweetpotato,CO_331:0000308,Average commercial root weight,Agronomic trait,Average commercial root weight evaluated in the harvest,,RtACRW,,Storage root,Yield,Recommended,Grueneberg2016:Def_36,CO_331:0000314,Estimated marketable yield per hectare - Method,Computation,(Weight of commercial storage roots/ Number of non-commercial roots,ACRW = CRW / NOCR,Grueneberg2016:Def_36,CO_331:0000320,t/ha,Continuous,2,0,,,,,,,,,,,,,,,,
,CO_331:0000681,RtYPP_Cp_kpl,YPP,Evaluation in Trials,PS,Recommended,Grueneberg2016:Def_46,"CIP, SASHA",W. Grueneberg,31/03/2016,EN,Sweetpotato,CO_331:0000309,Yield of total roots,Agronomic trait,Yield of total roots calculated after harvest,,RtYPP,,Storage root,Yield,Recommended,Grueneberg2016:Def_46,CO_331:0000315,Estimated yield of total roots per hectare - Method,Computation,(Weight of commercial storage roots/ plot size)*10,RYTHA = (TRW) /PS) * 10,Grueneberg2016:Def_46,CO_331:0000321,t/ha,Continuous,2,0,,,,,,,,,,,,,,,,
