curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10,Category 11,Category 12,Category 13,Category 14
,CO_331:0000615,Rt40ctW_Ms_kgplot,40CT,Evaluation in Trials,Harvest (H),,"Yencho,C.","Yencho,C.","Yencho,C.",,EN,Sweetpotato,CO_331:0000607,Weight of 40 count US no. 1 storage roots,Agronomic,"The roots 2 to 3 1/2 diameter, length of 3 to 9, must be well shaped and free of defects that weigh between 14.1 - 18 oz. Should take roughly 40 to fill a 40lb box",,Rt40ctW,,Storage root,Weight,Recommended,"Yencho,C.",CO_331:0002016,Measurement - Weight of 40 count US no. 1 storage roots,Measurement,Measure the weight of 40 count US no. 1 storage roots and record it,,"Yencho,C.",CO_331:0000893,kg/plot,Numerical,2.0,0.0,,CIP,,,,,,,,,,,,,,
,CO_331:0000616,Rt32ctW_Ms_kgplot,32CT,Evaluation in Trials,Harvest (H),,"Yencho,C.","Yencho,C.","Yencho,C.",,EN,Sweetpotato,CO_331:0000608,Weight of 32 count US no. 1 storage roots,Agronomic,"The roots 2 to 3 1/2 diameter, length of 3 to 9, must be well shaped and free of defects that weigh between 18.1 - 22 oz. Should take roughly 32 to fill a 40lb box",,Rt32ctW,,Storage root,Weight,Recommended,"Yencho,C.",CO_331:0002015,Measurement - Weight of 32 count US no. 1 storage roots,Measurement,Measure the weight of 32 count US no. 1 storage roots and record it,,"Yencho,C.",CO_331:0000893,kg/plot,Numerical,2.0,0.0,,CIP,,,,,,,,,,,,,,
,CO_331:0000678,PltPld_Ct_plplot,NOPS,Evaluation in Trials,Harvest (H),Standard CIP,"Gruneberg et al., 2019:Def_9","CIP, SASHA",CIP,,EN,Sweetpotato,CO_331:0000303,Number of plants planted,Other/Crop research,Evaluation of the number of plants planted,Number of plants (cutting) planted,PltPld,,Plant planted,Number,Recommended,"Gruneberg et al., 2019:Def_9",CO_331:0000190,Counting - Number of plants planted method,Counting,Count the number of plants planted per net plot and record it,,"Gruneberg et al., 2019:Def_9",CO_331:0000871,plants/plot,Numerical,0.0,0.0,,"Gruneberg et al., 2019",,,,,,,,,,,,,,
,CO_331:0000679,PtHrv_Ct_plplot,NOPH,Evaluation in Trials,Harvest (H),Standard CIP,"Gruneberg et al., 2019:Def_17","CIP, SASHA",CIP,,EN,Sweetpotato,CO_331:0000304,Number of plants harvested,Other/Crop research,Evaluation of the number of plants harvested,,PtHrv,,Plant harvested,Number,Recommended,"Gruneberg et al., 2019:Def_17",CO_331:0000305,Counting - Number of plants harvested method,Counting,Count the number of plants harvested per net plot and record it,,"Gruneberg et al., 2019:Def_17",CO_331:0000871,plants/plot,Numerical,0.0,0.0,,"Gruneberg et al., 2019",,,,,,,,,,,,,,
,CO_331:0000680,RtACRW_Cp_kg,ACRW,Evaluation in Trials,Harvest (H),Recommended,"Gruneberg et al., 2019:Def_3.2.4","CIP, SASHA",CIP,,EN,Sweetpotato,CO_331:0000308,Average commercial storage root weight,Agronomic,The average commercial weight of storage roots,,RtACRW,,Commercial storage root,Weight,Recommended,"Gruneberg et al., 2019:Def_3.2.4",CO_331:0000314,Computation - Average commercial weight of storage roots method,Computation,Compute the average commercial weight of storage roots per net plot using the formula,Weight of commercial storage roots / Number of commercial storage roots,"Gruneberg et al., 2019:Def_3.2.4",CO_331:0000893,kg/plot,Numerical,2.0,0.0,,CIP,,,,,,,,,,,,,,
,CO_331:0000681,RtYPPh_Cp_kgplant,YPP,Evaluation in Trials,Harvest (H),Recommended,"Gruneberg et al., 2019:Def_3.2.13","CIP, SASHA",W. Gruneberg,,EN,Sweetpotato,CO_331:0000309,Storage roots yield,Agronomic,The yield of storage roots,,RtYPP,,Storage root,Yield,Recommended,"Gruneberg et al., 2019:Def_3.2.13",CO_331:0000315,Computation - Yield of storage roots per plant harvested method,Computation,Compute the yield of total storage roots per plant harvested within the net plot using the formula,Total storage root weight / Number of plants harvested,"Gruneberg et al., 2019:Def_3.2.13",CO_331:0000321,kg/plant,Numerical,2.0,0.0,,CIP,,,,,,,,,,,,,,
,CO_331:0000682,RtCI_Cp_pct,CI,Evaluation in Trials,Postharvest (HP),Recommended,"Gruneberg et al., 2019:Def_3.2.6","CIP, SASHA",W. Gruneberg,,EN,Sweetpotato,CO_331:0000310,Proportion of commercial storage roots,Agronomic,The proportion of commercial storage roots after harvest,,RtCI,Percentage of marketable roots after harvest,Commercial storage root,Proportion,Recommended,"Gruneberg et al., 2019:Def_3.2.6",CO_331:0000316,Computation - Commercial storage roots proportion method,Computation,Compute the percentage of commercial storage roots per net plot using the formula,Number of commercial storage roots / Total number of storage roots *100,"Gruneberg et al., 2019:Def_3.2.6",CO_331:0000900,%,Numerical,2.0,0.0,100.0,CIP,,,,,,,,,,,,,,
,CO_331:0000683,BioYld_Cp_kgplot,BIOM,Evaluation in Trials,Postharvest (HP),Recommended,"Gruneberg et al., 2019:Def_3.2.5","CIP, SASHA",W. Gruneberg,,EN,Sweetpotato,CO_331:0000311,Biomass yield,Agronomic,The yield of the biomass,,BioYld,,Biomass,Yield,Recommended,"Gruneberg et al., 2019:Def_3.2.5, CIP",CO_331:0000317,Computation - Biomass yield method in kg,Computation,Computation of the biomass yield within net plot using the formula based in kg,Total storage root weight + Total vine weight,"Gruneberg et al., 2019:Def_3.2.5",CO_331:0000893,kg/plot,Numerical,2.0,0.0,,CIP,,,,,,,,,,,,,,
,CO_331:0000684,VnFolYld_Cp_tha,FYTHA,Evaluation in Trials,Postharvest (HP),Recommended,"Gruneberg et al., 2019:Def_3.2.8","CIP, SASHA",W. Gruneberg,,EN,Sweetpotato,CO_331:0000312,Total foliage yield,Agronomic,The yield of the total vine or foliage,,VnFolYld,,Vine,Yield,Recommended,"Gruneberg et al., 2019:Def_3.2.8",CO_331:0000318,Computation - Yield of foliage method,Computation,Compute the yield of vines per net plot using the formula,Total vine weight * 10 / Net plot area in m2,"Gruneberg et al., 2019:Def_3.2.8",CO_331:0000897,t/ha,Numerical,2.0,0.0,,CIP,,,,,,,,,,,,,,
,CO_331:0000685,RtFlsFe_Ms_ICP_mg100gDW,FeDW,Evaluation in Trials,Postharvest (PH),Recommended,CIP_QNlab,CIP,W. Gruneberg,,EN,Sweetpotato,CO_331:0000103,Storage root iron concentration in dry weight basis,Quality,The iron concentration in dry weight basis of the storage root,,RtFlsFeDw,,Storage root,Iron concentration in dry weight basis,Recommended,CIP_QNlab,CO_331:0002100,Measurement iron- Inductively coupled plasma atomic emission spectroscopy (ICP-OES) method in dry weight,Measurement,Measure the iron concentration in dry weight basis and record it,,CIP_QNlab,CO_331:0000925,mg/100g,Numerical,2.0,0.0,,CIP,,,,,,,,,,,,,,
,CO_331:0000686,RtFlsZn_Ms_ICP_mg100gDW,ZnDW,Evaluation in Trials,Postharvest (PH),Recommended,CIP_QNlab,CIP,W. Gruneberg,,EN,Sweetpotato,CO_331:0000106,Storage root zinc concentration in dry weight basis,Quality,The zinc concentration in dry weight basis of the storage root,,RtFlsZnDw,,Storage root,Zinc concentration in dry weight basis,Recommended,CIP_QNlab,CO_331:0002142,Measurement zinc- Inductively coupled plasma atomic emission spectroscopy (ICP-OES) method in dry weight,Measurement,Measure the zinc concentration in dry weight basis and record it,,CIP_QNlab,CO_331:0000925,mg/100g,Numerical,2.0,0.0,,CIP,,,,,,,,,,,,,,
,CO_331:0000687,RtFlsCa_Ms_ICP_mg100gDW,CaDW,Evaluation in Trials,Postharvest (PH),Recommended,CIP_QNlab,CIP,W. Gruneberg,,EN,Sweetpotato,CO_331:0000281,Storage root calcium concentration in dry weight basis,Quality,The calcium concentration in dry weight basis of the storage root,,RtFlsCaDw,,Storage root,Calcium concentration in dry weight basis,Recommended,CIP_QNlab,CO_331:0002083,Measurement  Calcium- Inductively coupled plasma atomic emission spectroscopy (ICP-OES) method in dry weight,Measurement,Measure the calcium concentration in dry weight basis and record it,,CIP_QNlab,CO_331:0000925,mg/100g,Numerical,2.0,0.0,,CIP,,,,,,,,,,,,,,
,CO_331:0000688,RtFlsMg_Ms_ICP_mg100gDW,MgDW,Evaluation in Trials,Postharvest (PH),Recommended,CIP_QNlab,CIP,W. Gruneberg,,EN,Sweetpotato,CO_331:0000285,Storage root magnesium concentration in dry weight basis,Quality,Content of magnesium in dry weight basis of the storage root,,RtFlsMgDw,,Storage root,Magnesium concentration in dry weight basis,Recommended,CIP_QNlab,CO_331:0002125,Measurement the magnesium- Inductively coupled plasma atomic emission spectroscopy (ICP-OES) method in dry weight,Measurement,Measure the magnesium concentration in dry weight basis and record it,,CIP_QNlab,CO_331:0000925,mg/100g,Numerical,2.0,0.0,,CIP,,,,,,,,,,,,,,
,CO_331:0000689,RtCb_Et_1to3,COLBR,Evaluation in Trials,Postharvest (PH),Legacy,Kapinga2010,"CIP, SASHA",R. Kapinga,,EN,Sweetpotato,CO_331:0000133,Flesh color of boiled storage roots,Quality,Flesh color of boiled storage roots,Flesh color of boiled roots,RtCb,,Boiled storage root,Flesh color,Legacy,Kapinga2010,CO_331:0000134,Visual estimation - Flesh color of boiled storage roots method,Estimation,Visual estimation- Observe the flesh color of boiled storage roots of flesh color of cooked roots immediately after cooking,,Kapinga2010,CO_331:0000135,RtCb 3pt scale,Ordinal,,,,Kapinga2010,1 = Orange (O),2 = Intermediate orange (IO),3 = Deep orange (DO),,,,,,,,,,,
,CO_331:0000690,RtSDef_Et_1to9,RTSUR,Characterizing stocks,Postharvest (PH),Legacy,Huaman1991:Def_4.2.2,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000423,Storage root surface primary defects,Abiotic stress,Storage root surface primary defects,,RtSPDef,,Storage root,surface primary defects,Recommended,"Huaman1991:Def_4.2.2, NCSU2016",CO_331:0000442,Visual estimation - Storage root surface defects,Estimation,Observe storage root surface defects and rate it,,Huaman1991:Def_4.2.2,CO_331:0000560,RtSDef 9 pt. scale,Ordinal,,,,Huaman1991:Def_4.2.2,0 = Absent,1 = Alligator-like skin,2 = Veins,3 = Shallow horizontal constrictions,4 = Deep horizontal constrictions,5 =Shallow longitudinal grooves,6 = Deep longitudinal grooves,7 = Deep constrictions and deep grooves,8 = Other,,,,,
,CO_331:0000691,RtCThk_Et_1to9,"RTCOR,RCORTEX",Characterizing stocks,Postharvest (PH),Recommended,Huaman1991:Def_4.2.3,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000327,Storage root Cortex Thickness,Morphological,Storage Root Cortex Thickness,,RtCThk,,Root cortex,Thickness,Recommended,Huaman1991:Def_4.2.3,CO_331:0000443,Estimation - Observation of storage root cortex thickness method,Estimation,Measure storage root cortex thickness and estimated it,,Huaman1991:Def_4.2.3,CO_331:0000561,RtsCthi 5 pt. Scale,Ordinal,,,,Huaman1991:Def_4.2.3,1 = Very thin (1 mm),3 = Thin (1-2 mm),5 = Intermediate (2-3 mm),7 = Thick (3-4 mm),9 = Very thick (>4 mm),,,,,,,,,
,CO_331:0000692,FrHab_Et_0to7,FLWHAB,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.3.1,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000328,Flowering habit,Morphological,The habit of the flower,,FrHab,,Flowering,Habit,Recommended,Huaman1991:Def_4.3.1,CO_331:0000444,Visual estimation - Flowering habit,Estimation,Observe the habit of the flower and rate it,,Huaman1991:Def_4.3.1,CO_331:0000562,FrHab 4 pt. scale,Ordinal,,,,Huaman1991:Def_4.3.1,0 = None,3 = Sparse,5 = Moderate,7 = Profuse,,,,,,,,,,
,CO_331:0000693,FrSiz_Ms_cm,FLESIZ,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.3.3,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000329,Flower size,Morphological,The size of the flower,,FrSiz,,Flower,Size,Recommended,Huaman1991:Def_4.3.3,CO_331:0000445,Measurement - Flower size,Measurement,Measure flower size and record it,,Huaman1991:Def_4.3.3,CO_331:0000950,cm,Numerical,2.0,0.0,,CIP,,,,,,,,,,,,,,
,CO_331:0000694,FrShL_Et_3to7,FLLMB,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.3.4,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000330,Flower limb shape,Morphological,The shape of the flower limb,,FrShL,,Flower limb,Shape,Recommended,Huaman1991:Def_4.3.4,CO_331:0000446,Visual observation - Flower limb shape,Estimation,Observe the flower limb shape and rate it,,Huaman1991:Def_4.3.4,CO_331:0000564,FrShL 3 pt. scale,Ordinal,,,,Huaman1991:Def_4.3.4,3 = Semi-stellate,5= Pentagonal,7 = Rounded,,,,,,,,,,,
,CO_331:0000695,FrSepEql_Et_1to2,SEPLEQ,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.3.5,"CIP, FAO, IPGRI, AVRDC, IBPBR",Z. Huaman,,EN,Sweetpotato,CO_331:0000331,Equality of sepal length,Morphological,The length equality of the sepal,,FrSepEql,,Sepal,Length equality,Recommended,Huaman1991:Def_4.3.5,CO_331:0000447,Measurement - Sepal length equality,Measurement,Measure sepal length equality and rate it,,Huaman1991:Def_4.3.5,CO_331:0000565,FrSepEql 2 pt. scale,Ordinal,,,,Huaman1991:Def_4.3.5,1 = Outer two shorter,2 = Equal,,,,,,,,,,,,
,CO_331:0000696,FrSepNVn_Ct_no,SEPVNM,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.3.6,"CIP, FAO, IPGRI, AVRDC, IBPBR",Z. Huaman,,EN,Sweetpotato,CO_331:0000332,Number of sepal veins,Morphological,The number of sepal veins,,FrSepNVn,,Sepal vein,Number,Recommended,Huaman1991:Def_4.3.6,CO_331:0000448,Observation - Sepal vein number,Counting,Count the number of sepal veins and record it. Record the most frequent number in ten typical flowers,,Huaman1991:Def_4.3.6,CO_331:0000566,FrSepNVn,Numerical,0.0,0.0,,Huaman1991:Def_4.3.6,,,,,,,,,,,,,,
,CO_331:0000697,FrSepShp_Et_1to9,SEPSHP,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.3.7,"CIP, FAO, IPGRI, AVRDC, IBPBR",Z. Huaman,,EN,Sweetpotato,CO_331:0000333,Sepal shape,Morphological,The shape of the sepal,,FrSepShp,,Sepal,Shape,Recommended,Huaman1991:Def_4.3.7,CO_331:0000449,Visual estimation - Sepal shape,Estimation,Observe the sepal shape and rate it,,Huaman1991:Def_4.3.7,CO_331:0000567,FrSepShp 5 pt. scale,Ordinal,,,,Huaman1991:Def_4.3.7,1 = Ovate,3 = Elliptic,5 = Obovate,7 = Oblong,9 = Lanceolate,,,,,,,,,
,CO_331:0000698,FrSepApx_Et_1to7,SEPAPX,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.3.8,"CIP, FAO, IPGRI, AVRDC, IBPBR",Z. Huaman,,EN,Sweetpotato,CO_331:0000334,Sepal apex shape,Morphological,The shape of the sepal apex,,FrSepApx,,Sepal apex,Shape,Recommended,Huaman1991:Def_4.3.8,CO_331:0000450,Visual estimation - Sepal apex shape,Estimation,Observe the shape of the sepal apex and rate it,,Huaman1991:Def_4.3.8,CO_331:0000568,FrSepApx 4 pt. scale,Ordinal,,,,Huaman1991:Def_4.3.8,1 = Acute,3 = Obtuse,5 = Acuminate,7 = Caudate,,,,,,,,,,
,CO_331:0000699,FrSepPub_Et_0to7,SEPPUB,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.3.9,"CIP, FAO, IPGRI, AVRDC, IBPBR",Z. Huaman,,EN,Sweetpotato,CO_331:0000335,Sepal pubescence,Morphological,The pubescence of the sepal,,FrSepPub,,Sepal,Pubescence,Recommended,Huaman1991:Def_4.3.9,CO_331:0000451,Visual estimation - Sepal pubescence,Estimation,Observe the pubescence of the sepal and rate it,,Huaman1991:Def_4.3.9,CO_331:0000569,FrSepPub 4 pt. scale,Ordinal,,,,Huaman1991:Def_4.3.9,0 = Absent,3 = Sparse,5 = Moderate,7 = Heavy,,,,,,,,,,
,CO_331:0000700,FrSepCol_Et_3to7,SEPCOL,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.3.10,"CIP, FAO, IPGRI, AVRDC, IBPBR",Z. Huaman,,EN,Sweetpotato,CO_331:0000336,Sepal color,Morphological,The color of the sepal,,FrSepCol,,Sepal,Color,Recommended,Huaman1991:Def_4.3.10,CO_331:0000452,Visual estimation - Sepal color,Estimation,Observe the sepal color and rate it,,Huaman1991:Def_4.3.10,CO_331:0000570,FrSepCol 7 pt. scale,Nominal,,,,Huaman1991:Def_4.3.10,1 = Green,2 = Green with purple edge,3 = Green with purple spots,5 = Green with purple areas,"6 = Some sepals green, others purple",7 = Totally pigmented - pale purple,9 = Totally pigmented - dark purple,,,,,,,
,CO_331:0000701,FrStgCol_Et_1to9,STGCOL,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.3.11,"CIP, FAO, IPGRI, AVRDC, IBPBR",Z. Huaman,,EN,Sweetpotato,CO_331:0000337,Stigma color,Morphological,The color of the stigma,,FrStgCol,,Stigma,Color,Recommended,Huaman1991:Def_4.3.11,CO_331:0000453,Visual estimation - Stigma color,Estimation,Observe the stigma color and rate it,,Huaman1991:Def_4.3.11,CO_331:0000571,FrStgCol 3 pt. scale,Ordinal,,,,Huaman1991:Def_4.3.11,1 = White,5 = Pale purple,9 = Purple,,,,,,,,,,,
,CO_331:0000702,FrStyCol_Et_1to9,STYCOL,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.3.12,"CIP, FAO, IPGRI, AVRDC, IBPBR",Z. Huaman,,EN,Sweetpotato,CO_331:0000338,Style color,Morphological,The color of the style,,FrStyCol,,Style,Color,Recommended,Huaman1991:Def_4.3.12,CO_331:0000454,Visual estimation - Style color,Estimation,Observe the style color and rate it,,Huaman1991:Def_4.3.12,CO_331:0000572,FrStyCol 5 pt. scale,Ordinal,,,,Huaman1991:Def_4.3.12,1 = White,3 = White with purple at the base,5 = White with purple at the top,7 = White with purple spots throughout,9 = Purple,,,,,,,,,
,CO_331:0000703,FrStgExt_Et_1to7,STGEXT,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.3.13,"CIP, FAO, IPGRI, AVRDC, IBPBR",Z. Huaman,,EN,Sweetpotato,CO_331:0000339,Stigma exertion,Morphological,The exertion of the stigma,,FrStgExt,,Stigma,Exertion,Recommended,Huaman1991:Def_4.3.13,CO_331:0000455,Visual estimation - Stigma exertion,Estimation,Observe the stigma exertion and rate it. The relative position of the stigma as compared to the highest anther,,Huaman1991:Def_4.3.13,CO_331:0000573,FrStgExt 4 pt. scale,Ordinal,,,,Huaman1991:Def_4.3.13,1 = Inserted (shorter than longest anther),3 = Same height as the highest anther,5 = Slighty exerted,7 = Exerted (longer than longest anther),,,,,,,,,,
,CO_331:0000704,FrSdCp_Et_0to7,SEDCAP,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.3.14,"CIP, FAO, IPGRI, AVRDC, IBPBR",Z. Huaman,,EN,Sweetpotato,CO_331:0000340,Seed capsule set,Morphological,The capsule set of the seed,,FrSdCp,,Seed,Capsule set,Recommended,Huaman1991:Def_4.3.14,CO_331:0000456,Visual estimation - Seed capsule set,Estimation,Observe the seed capsule set and rate it,,Huaman1991:Def_4.3.14,CO_331:0000574,FrSdCp 5 pt. scale,Ordinal,,,,Huaman1991:Def_4.3.14,0 = None,1 = Scarce,3 = Sparse,5 = Moderate,7 = Profuse,,,,,,,,,
,CO_331:0000705,RtFrm_Et_1to7,RTFORM,Characterizing stocks,Root bulking (RB),Legacy,Huaman1991:Def_6.1.1,"CIP, FAO, IPGRI, AVRDC, IBPBR",Z. Huaman,,EN,Sweetpotato,CO_331:0000341,Storage root formation,Morphological,The formation of the storage root,,RtFrm,,Storage root,Formation,Legacy,Huaman1991:Def_6.1.1,CO_331:0000457,Visual estimation - Storage root formation,Estimation,Observe the storage root formation and rate it,,Huaman1991:Def_6.1.1,CO_331:0000575,RtFrm 4 pt. scale,Nominal,,,,Huaman1991:Def_6.1.1,1 = Closed cluster,3 = Open cluster,5 = Dispersed,7 = Very dispersed,,,,,,,,,,
,CO_331:0000707,RtShpU_Et_3to7_by_Huaman,RTSHPV,Characterizing stocks,Root growing (RG),Legacy,Huaman1991:Def_6.1.4,CIP,Z. Huaman,,EN,Sweetpotato,CO_331:0000409,Storage root shape uniformity,Morphological,The shape uniformity of the storage root,,RtShpU,,Storage root,Shape uniformity,Recommended,NCSU2016,CO_331:0000528,Visual estimation - Storage root shape uniformity,Estimation,Observe the shape uniformity of the storage root and rate it,,"Huaman1991:Def_6.1.4, NCSU2016",CO_331:0000978,RtShpU 3 pt. scale,Ordinal,,,,Huaman1991:Def_6.1.4,3 = Uniform,5 = SlightIy variable,7 = Moderately variable,,,,,,,,,,,
,CO_331:0000708,RtSzV_Et_3to7,RTSIZV,Characterizing stocks,Root bulking (RB),Legacy,Huaman1991:Def_6.1.5,"CIP, FAO, IPGRI, AVRDC, IBPBR",Z. Huaman,,EN,Sweetpotato,CO_331:0000344,Storage root size variability,Morphological,The size variability of the storage root,,RtSzV,,Storage root,Size variability,Legacy,Huaman1991:Def_6.1.5,CO_331:0000460,Visual estimation - Storage root size variability,Estimation,Observe the size variability of the storage root and rate it,,Huaman1991:Def_6.1.5,CO_331:0000578,RtSzV 3 pt. scale,Ordinal,,,,Huaman1991:Def_6.1.5,3 = Uniform,5 = SlightIy variable,7 = Moderately variable,,,,,,,,,,,
,CO_331:0000709,RtKQl_Et_3to7,RTKQL,Evaluation in Trials,Postharvest (PH),Legacy,Huaman1991:Def_6.2.7,"CIP, FAO, IPGRI, AVRDC, IBPBR",Z. Huaman,,EN,Sweetpotato,CO_331:0000345,Stored storage root keeping quality,Quality,The keeping quality of stored storage roots,,RtKQl,,Stored storage root,Keeping quality,Legacy,Huaman1991:Def_6.2.7,CO_331:0000461,Visual estimation - Keeping quality method,Estimation,Observe the keeping quality of stored storage roots and rate it,,Huaman1991:Def_6.2.7,CO_331:0000579,RtKQl 3 pt. scale,Ordinal,,,,Huaman1991:Def_6.2.7,3 = Poor,5 = Medium,7 = Good,,,,,,,,,,,
,CO_331:0000710,RtBlCu_Et_1to9,RTBCOLD,Evaluation in Trials,Postharvest (PH),Legacy,Huaman1991:Def_6.2.9.1,"CIP, FAO, IPGRI, AVRDC, IBPBR",Z. Huaman,,EN,Sweetpotato,CO_331:0000346,Boiled storage root consistency,Quality,The consistency of the boiled storage root,,RtBlCu,,Boiled storage root,Consistency,Legacy,Huaman1991:Def_6.2.9.1,CO_331:0000462,Estimation - Boiled storage root consistency method,Estimation,Taste boiled storage root consistency and rate it,,Huaman1991:Def_6.2.9.1,CO_331:0000580,RtBlCu 9 pt. scale,Ordinal,,,,Huaman1991:Def_6.2.9.1,1 = Watery,2 = Extremely soft,3 = Very soft,4 = Soft,5 = Slighty hard,6 = Moderately hard,7 = Hard,8 = Very hard,9 = Very hard and non-cooked,,,,,
,CO_331:0000711,RtBlCd_Et_0to9,RTBCOLU,Evaluation in Trials,Postharvest (PH),Legacy,Huaman1991:Def_6.2.9.2,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000347,Boiled storage root undesirable color,Quality,The undesirable color of the boiled storage root,,RtBlCd,,Boiled storage root,Undesirable color,Legacy,Huaman1991:Def_6.2.9.2,CO_331:0000463,Visual estimation - Boiled storage root undesirable color method,Estimation,Observe the boiled storage root undesirable color and rate it,,Huaman1991:Def_6.2.9.2,CO_331:0000581,RtBlCd 10 pt. scale,Nominal,,,,Huaman1991:Def_6.2.9.2,0 = None,1 = Some beige,2 = Much beige,3 = Slighty green or grey,4 = Green,5 = Grey,6 = Beige and green,7 = Beige and grey,8 = Beige and purple,9 = Purple,,,,
,CO_331:0000712,RnDrt_Et_1to9,DROUGHT,Evaluation in Trials,Root growing (RG),Legacy,Huaman1991:Def_7.1,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000348,Reaction to drought,Abiotic stress,The response of the plant to water restriction,,RnDrt,,Plant,Drought tolerance,Legacy,Huaman1991:Def_7.1,CO_331:0000464,Visual estimation - Reaction of the plant to drought,Estimation,Observe the reaction to drought and rate it,,Huaman1991:Def_7.1,CO_331:0000582,RnDrt 5 pt. scale,Ordinal,,,,Huaman1991:Def_7.1,1 = Very low,3 = Low,5 = Intermediate,7 = High,9 = Very High,,,,,,,,,
,CO_331:0000713,RnFld_Et_1to9,FLOOD,Evaluation in Trials,Root growing (RG),Legacy,Huaman1991:Def_7.2,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000349,Reaction to flooding,Abiotic stress,The response of the plant (or plant part) to flooding,Waterlogging response,RnFld,,Plant,Flooding tolerance,Legacy,Huaman1991:Def_7.2,CO_331:0000465,Visual estimation - Reaction of the plant to flooding,Estimation,Observe the reaction to flooding and rate it,,Huaman1991:Def_7.2,CO_331:0000583,RnFld 5 pt. scale,Ordinal,,,,Huaman1991:Def_7.2,1 = Very low,3 = Low,5 = Intermediate,7 = High,9 = Very High,,,,,,,,,
,CO_331:0000714,RnHeat_Et_1to9,HEAT,Evaluation in Trials,Root growing (RG),Legacy,Huaman1991:Def_7.3,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000350,Reaction to heat,Abiotic stress,The response of the plant (or plant part) to heat,,RnHeat,,Plant,Heat tolerance,Legacy,Huaman1991:Def_7.3,CO_331:0000466,Visual estimation - Reaction of the plant to heat,Estimation,Observe the reaction to heat and rate it. The reaction is estimated by observing the appearance of plants in response to a hot season with night temperatures of more than 22°C,,Huaman1991:Def_7.3,CO_331:0000584,RnHeat 5 pt. scale,Ordinal,,,,Huaman1991:Def_7.3,1 = Very low,3 = Low,5 = Intermediate,7 = High,9 = Very High,,,,,,,,,
,CO_331:0000715,RnSlt_Et_1to9,SALINITY,Evaluation in Trials,Root growing (RG),Legacy,Huaman1991:Def_7.4,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000351,Reaction to salinity,Abiotic stress,The response of the plant to salinity,,RnSlt,,Plant,Salinity tolerance,Legacy,Huaman1991:Def_7.4,CO_331:0000467,Visual estimation - Reaction of the plant to salinity,Estimation,Observe the reaction to salinity and rate it. The reaction is estimated by observing the appearance of plants in response to soil with salinity levels of more 8 mm/cm,,Huaman1991:Def_7.4,CO_331:0000585,RnSlt 5 pt. scale,Ordinal,,,,Huaman1991:Def_7.4,1 = Very low,3 = Low,5 = Intermediate,7 = High,9 = Very High,,,,,,,,,
,CO_331:0000716,RnShd_Et_1to9,SHADE,Evaluation in Trials,Root growing (RG),Legacy,Huaman1991:Def_7.5,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000352,Reaction to shade,Abiotic stress,The response of the plant to shade,,RnShd,,Plant,Shade tolerance,Legacy,Huaman1991:Def_7.5,CO_331:0000468,Visual estimation - Reaction of the plant to shade,Estimation,Observe the reaction to shade and rate it. The reaction is estimated by observing the appearance of plants in response to shade,,Huaman1991:Def_7.5,CO_331:0000586,RnShd 5 pt. scale,Ordinal,,,,Huaman1991:Def_7.5,1 = Very low,3 = Low,5 = Intermediate,7 = High,9 = Very High,,,,,,,,,
